;DIA;MES;AÑO;MUESTREO;CULTIVAR;VARIEDAD;PORTAINJERTO;REPETICION;CODIGO;EVALUADO;HUEVO ACARO HINDU;ADULTO ACARO HINDU;OTROS ACAROS;AFIDOS;MHC;HOJAS MINADAS;TOTAL HOJAS BROTE;ESCAMAS;MOSCA BLANCA;OBSERVACIONES
1;2;10;2018;M44;Naranja;PeradelRio;CPB4475;1;1;B1;;NA;NA;1;0;0;12;;NA;
1;2;10;2018;M44;Naranja;PeradelRio;CPB4475;1;1;B2;;NA;NA;1;0;0;9;;NA;
1;2;10;2018;M44;Naranja;PeradelRio;CPB4475;1;1;H1;;0;1;NA;0;NA;NA;NA;0;
1;2;10;2018;M44;Naranja;PeradelRio;CPB4475;1;1;H2;;0;1;NA;0;NA;NA;NA;0;
1;2;10;2018;M44;Naranja;PeradelRio;CPB4475;1;1;H3;;0;1;NA;0;NA;NA;NA;0;
1;2;10;2018;M44;Naranja;PeradelRio;CPB4475;1;1;H4;;0;1;NA;0;NA;NA;NA;0;
2;2;10;2018;M44;Naranja;PeradelRio;CPB4475;2;1;B1;;NA;NA;1;0;0;7;;NA;
2;2;10;2018;M44;Naranja;PeradelRio;CPB4475;2;1;B2;;NA;NA;1;0;0;8;;NA;
2;2;10;2018;M44;Naranja;PeradelRio;CPB4475;2;1;H1;;0;1;NA;1;NA;NA;NA;0;
2;2;10;2018;M44;Naranja;PeradelRio;CPB4475;2;1;H2;;0;1;NA;1;NA;NA;NA;0;
2;2;10;2018;M44;Naranja;PeradelRio;CPB4475;2;1;H3;;0;1;NA;0;NA;NA;NA;0;
2;2;10;2018;M44;Naranja;PeradelRio;CPB4475;2;1;H4;;2;1;NA;0;NA;NA;NA;0;
3;2;10;2018;M44;Naranja;PeradelRio;CPB4475;3;1;B1;;NA;NA;1;0;0;15;;NA;
3;2;10;2018;M44;Naranja;PeradelRio;CPB4475;3;1;B2;;NA;NA;NA;NA;NA;NA;;NA;
3;2;10;2018;M44;Naranja;PeradelRio;CPB4475;3;1;H1;;1;1;NA;1;NA;NA;NA;0;
3;2;10;2018;M44;Naranja;PeradelRio;CPB4475;3;1;H2;;0;1;NA;0;NA;NA;NA;0;
3;2;10;2018;M44;Naranja;PeradelRio;CPB4475;3;1;H3;;0;1;NA;0;NA;NA;NA;0;
3;2;10;2018;M44;Naranja;PeradelRio;CPB4475;3;1;H4;;0;1;NA;0;NA;NA;NA;0;
1;2;10;2018;M44;Naranja;Lannelate;CPB4475;1;2;B1;;NA;NA;NA;NA;NA;NA;;NA;
1;2;10;2018;M44;Naranja;Lannelate;CPB4475;1;2;B2;;NA;NA;NA;NA;NA;NA;;NA;
1;2;10;2018;M44;Naranja;Lannelate;CPB4475;1;2;H1;;0;1;NA;0;NA;NA;NA;0;
1;2;10;2018;M44;Naranja;Lannelate;CPB4475;1;2;H2;;0;1;NA;0;NA;NA;NA;0;
1;2;10;2018;M44;Naranja;Lannelate;CPB4475;1;2;H3;;0;1;NA;0;NA;NA;NA;0;
1;2;10;2018;M44;Naranja;Lannelate;CPB4475;1;2;H4;;0;1;NA;0;NA;NA;NA;0;
2;2;10;2018;M44;Naranja;Lannelate;CPB4475;2;2;B1;;NA;NA;1;0;0;12;;NA;
2;2;10;2018;M44;Naranja;Lannelate;CPB4475;2;2;B2;;NA;NA;1;0;0;13;;NA;
2;2;10;2018;M44;Naranja;Lannelate;CPB4475;2;2;H1;;0;1;NA;0;NA;NA;NA;0;
2;2;10;2018;M44;Naranja;Lannelate;CPB4475;2;2;H2;;0;1;NA;0;NA;NA;NA;0;
2;2;10;2018;M44;Naranja;Lannelate;CPB4475;2;2;H3;;0;1;NA;1;NA;NA;NA;0;
2;2;10;2018;M44;Naranja;Lannelate;CPB4475;2;2;H4;;0;1;NA;0;NA;NA;NA;0;
3;2;10;2018;M44;Naranja;Lannelate;CPB4475;3;2;B1;;NA;NA;1;0;0;4;;NA;
3;2;10;2018;M44;Naranja;Lannelate;CPB4475;3;2;B2;;NA;NA;1;0;0;10;;NA;
3;2;10;2018;M44;Naranja;Lannelate;CPB4475;3;2;H1;;0;1;NA;0;NA;NA;NA;0;
3;2;10;2018;M44;Naranja;Lannelate;CPB4475;3;2;H2;;0;1;NA;0;NA;NA;NA;0;
3;2;10;2018;M44;Naranja;Lannelate;CPB4475;3;2;H3;;0;1;NA;0;NA;NA;NA;0;
3;2;10;2018;M44;Naranja;Lannelate;CPB4475;3;2;H4;;0;1;NA;0;NA;NA;NA;0;
1;2;10;2018;M44;Naranja;Hamlin;CPB4475;1;3;B1;;NA;NA;1;0;0;12;;NA;
1;2;10;2018;M44;Naranja;Hamlin;CPB4475;1;3;B2;;NA;NA;NA;NA;NA;NA;;NA;
1;2;10;2018;M44;Naranja;Hamlin;CPB4475;1;3;H1;;0;1;NA;0;NA;NA;NA;0;
1;2;10;2018;M44;Naranja;Hamlin;CPB4475;1;3;H2;;0;1;NA;0;NA;NA;NA;0;
1;2;10;2018;M44;Naranja;Hamlin;CPB4475;1;3;H3;;0;1;NA;0;NA;NA;NA;0;
1;2;10;2018;M44;Naranja;Hamlin;CPB4475;1;3;H4;;0;1;NA;0;NA;NA;NA;0;
2;2;10;2018;M44;Naranja;Hamlin;CPB4475;2;3;B1;;NA;NA;1;0;0;9;;NA;
2;2;10;2018;M44;Naranja;Hamlin;CPB4475;2;3;B2;;NA;NA;1;0;0;14;;NA;
2;2;10;2018;M44;Naranja;Hamlin;CPB4475;2;3;H1;;0;1;NA;0;NA;NA;NA;0;
2;2;10;2018;M44;Naranja;Hamlin;CPB4475;2;3;H2;;0;1;NA;0;NA;NA;NA;0;
2;2;10;2018;M44;Naranja;Hamlin;CPB4475;2;3;H3;;0;1;NA;0;NA;NA;NA;0;
2;2;10;2018;M44;Naranja;Hamlin;CPB4475;2;3;H4;;0;1;NA;0;NA;NA;NA;0;
3;2;10;2018;M44;Naranja;Hamlin;CPB4475;3;3;B1;;NA;NA;1;0;0;8;;NA;
3;2;10;2018;M44;Naranja;Hamlin;CPB4475;3;3;B2;;NA;NA;NA;NA;NA;NA;;NA;
3;2;10;2018;M44;Naranja;Hamlin;CPB4475;3;3;H1;;0;1;NA;0;NA;NA;NA;0;
3;2;10;2018;M44;Naranja;Hamlin;CPB4475;3;3;H2;;0;1;NA;0;NA;NA;NA;0;
3;2;10;2018;M44;Naranja;Hamlin;CPB4475;3;3;H3;;0;1;NA;0;NA;NA;NA;0;
3;2;10;2018;M44;Naranja;Hamlin;CPB4475;3;3;H4;;0;1;NA;1;NA;NA;NA;0;
1;2;10;2018;M44;Naranja;ParsonBrown;CPB4475;1;4;B1;;NA;NA;NA;NA;NA;NA;;NA;
1;2;10;2018;M44;Naranja;ParsonBrown;CPB4475;1;4;B2;;NA;NA;NA;NA;NA;NA;;NA;
1;2;10;2018;M44;Naranja;ParsonBrown;CPB4475;1;4;H1;;0;1;NA;0;NA;NA;NA;0;
1;2;10;2018;M44;Naranja;ParsonBrown;CPB4475;1;4;H2;;0;1;NA;0;NA;NA;NA;0;
1;2;10;2018;M44;Naranja;ParsonBrown;CPB4475;1;4;H3;;0;1;NA;0;NA;NA;NA;0;
1;2;10;2018;M44;Naranja;ParsonBrown;CPB4475;1;4;H4;;0;1;NA;0;NA;NA;NA;0;
2;2;10;2018;M44;Naranja;ParsonBrown;CPB4475;2;4;B1;;NA;NA;1;0;0;8;;NA;
2;2;10;2018;M44;Naranja;ParsonBrown;CPB4475;2;4;B2;;NA;NA;1;0;0;12;;NA;
2;2;10;2018;M44;Naranja;ParsonBrown;CPB4475;2;4;H1;;0;1;NA;0;NA;NA;NA;0;
2;2;10;2018;M44;Naranja;ParsonBrown;CPB4475;2;4;H2;;0;1;NA;0;NA;NA;NA;0;
2;2;10;2018;M44;Naranja;ParsonBrown;CPB4475;2;4;H3;;0;1;NA;1;NA;NA;NA;0;
2;2;10;2018;M44;Naranja;ParsonBrown;CPB4475;2;4;H4;;0;1;NA;1;NA;NA;NA;0;
3;2;10;2018;M44;Naranja;ParsonBrown;CPB4475;3;4;B1;;NA;NA;NA;NA;NA;NA;;NA;
3;2;10;2018;M44;Naranja;ParsonBrown;CPB4475;3;4;B2;;NA;NA;NA;NA;NA;NA;;NA;
3;2;10;2018;M44;Naranja;ParsonBrown;CPB4475;3;4;H1;;0;1;NA;0;NA;NA;NA;0;
3;2;10;2018;M44;Naranja;ParsonBrown;CPB4475;3;4;H2;;0;1;NA;1;NA;NA;NA;0;
3;2;10;2018;M44;Naranja;ParsonBrown;CPB4475;3;4;H3;;0;1;NA;1;NA;NA;NA;0;
3;2;10;2018;M44;Naranja;ParsonBrown;CPB4475;3;4;H4;;0;1;NA;0;NA;NA;NA;0;
1;2;10;2018;M44;Naranja;Pinneapple;CPB4475;1;5;B1;;NA;NA;1;0;0;7;;NA;
1;2;10;2018;M44;Naranja;Pinneapple;CPB4475;1;5;B2;;NA;NA;1;0;0;10;;NA;
1;2;10;2018;M44;Naranja;Pinneapple;CPB4475;1;5;H1;;0;1;NA;1;NA;NA;NA;0;
1;2;10;2018;M44;Naranja;Pinneapple;CPB4475;1;5;H2;;0;1;NA;0;NA;NA;NA;0;
1;2;10;2018;M44;Naranja;Pinneapple;CPB4475;1;5;H3;;0;1;NA;0;NA;NA;NA;0;
1;2;10;2018;M44;Naranja;Pinneapple;CPB4475;1;5;H4;;0;1;NA;0;NA;NA;NA;0;
2;2;10;2018;M44;Naranja;Pinneapple;CPB4475;2;5;B1;;NA;NA;1;0;0;11;;NA;
2;2;10;2018;M44;Naranja;Pinneapple;CPB4475;2;5;B2;;NA;NA;1;0;0;13;;NA;
2;2;10;2018;M44;Naranja;Pinneapple;CPB4475;2;5;H1;;0;1;NA;0;NA;NA;NA;0;
2;2;10;2018;M44;Naranja;Pinneapple;CPB4475;2;5;H2;;0;1;NA;1;NA;NA;NA;0;
2;2;10;2018;M44;Naranja;Pinneapple;CPB4475;2;5;H3;;0;1;NA;0;NA;NA;NA;0;
2;2;10;2018;M44;Naranja;Pinneapple;CPB4475;2;5;H4;;1;1;NA;0;NA;NA;NA;0;
3;2;10;2018;M44;Naranja;Pinneapple;CPB4475;3;5;B1;;NA;NA;1;0;0;9;;NA;
3;2;10;2018;M44;Naranja;Pinneapple;CPB4475;3;5;B2;;NA;NA;NA;NA;NA;NA;;NA;
3;2;10;2018;M44;Naranja;Pinneapple;CPB4475;3;5;H1;;1;1;NA;1;NA;NA;NA;0;
3;2;10;2018;M44;Naranja;Pinneapple;CPB4475;3;5;H2;;0;1;NA;0;NA;NA;NA;0;
3;2;10;2018;M44;Naranja;Pinneapple;CPB4475;3;5;H3;;0;1;NA;0;NA;NA;NA;0;
3;2;10;2018;M44;Naranja;Pinneapple;CPB4475;3;5;H4;;0;1;NA;0;NA;NA;NA;0;
